"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"12","171810_x_at","ncam-1","180418","NCAM (neural cell adhesion molecule) homolog",-0.235728305882015,5.33448832277582,-1.80953311816438,0.088672031720502,0.145068899755556,-5.70708759786005
"13","171827_x_at","ccg-1","178426","Conserved Cysteine/Glycine domain protein",1.35620849356974,8.32305964287278,8.36107785911482,2.53320681021023e-07,4.0165294291166e-06,7.0166955093221
"14","171841_x_at","hlh-11","176360","Helix-loop-helix protein 11",0.4207084102578,5.24656688555863,2.41822169365208,0.0275205010427552,0.0559534321542121,-4.64339014117815
"15","171847_s_at","mlt-11","180352","hypothetical protein",-0.0843898755355781,4.51731754015764,-0.654787785374037,0.521652879355405,0.605593682325178,-7.05949268732772
"16","171850_x_at","nuo-4","176001","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;dNK domain-containing protein",-0.0920096926653535,10.2277533458374,-0.846272000896207,0.409539808931192,0.500228764863232,-6.91287149842402
"17","171855_x_at","tcc-1","180167","Transmembrane and Coiled-Coil protein",0.0162047195574795,6.28269300878192,0.0949972383842674,0.925464266478,0.943727226999422,-7.27816662411654
"18","171869_at","svh-2","180929","Tyrosine-protein kinase receptor svh-2",0.513653271644376,3.7887297439154,4.46697587526397,0.000364984585004939,0.00155236249802065,-0.400535641270084
"19","171872_s_at","Y66D12A.8","176589","hypothetical protein",0.0233446230970973,9.31568722098308,0.176475279832341,0.862074313468139,0.895577948969143,-7.2665035876516
"20","171892_x_at","gln-1","180875","GLutamiNe synthetase (glutamate-ammonia ligase)",0.298580803625416,6.9731722354685,1.95275657765087,0.0680731191609192,0.116529107923248,-5.47324111420423
"21","171900_s_at","B0511.6","172954","RNA helicase",0.15076968684744,9.28641325613419,1.22096514093683,0.239306172403679,0.324100922027717,-6.52970215169169
"22","171911_x_at","F53F4.11","179849","hypothetical protein",0.232233273794704,7.11533450599706,1.44037227569311,0.16851832564517,0.243072091989056,-6.25168270876228
"23","171925_x_at","C46H3.2","3564865","hypothetical protein",-0.115658543903625,6.10974826742291,-0.929015430409418,0.366309701007058,0.456518665032705,-6.83888883941416
"24","171970_x_at","H39E23.3","3565355","hypothetical protein",0.802596742392717,6.96971235714063,2.59432076262189,0.0192518219346013,0.0414241988995291,-4.30679469020694
"25","171986_x_at","fip-2","179283","Fungus-Induced Protein",1.01678241967173,7.69028106962767,7.64687864680088,8.27932752394236e-07,1.04458644021066e-05,5.80492044427333
"26","171996_x_at","egl-15","181291","Myoblast growth factor receptor egl-15",0.382404311148982,4.61143750703515,2.63292173804454,0.0177864240195197,0.0387915210049148,-4.2316646969693
"27","172001_x_at","lev-11","173319","Tropomyosin ;hypothetical protein",0.406208952303748,9.04512034257391,3.63381868500851,0.00214749865358944,0.00689206430237882,-2.17340611187421
"28","172013_x_at","byn-1","175968","Cell adhesion protein byn-1",0.0542299574557816,9.72358303104734,0.579666260025661,0.569991876472929,0.648000579305374,-7.10733304688907
"29","172015_x_at","Y82E9BR.17","259490","hypothetical protein",-0.386727854631507,5.77987199244146,-2.28579471610101,0.0358342825637509,0.0690203040604348,-4.88910011680239
"30","172023_x_at","klp-11","177685","Kinesin-like protein",0.653825276675136,6.2796601262256,4.24281946793657,0.000585920033676937,0.00232693956231698,-0.876779839495764
"31","172026_x_at","vap-1","181768","Venom-Allergen-like Protein",-0.129757251445298,3.80743654284143,-0.74085783161276,0.469220769201083,0.557132860924976,-6.99791356301585
"32","172032_x_at","rnt-1","172243","Runt domain-containing protein",-0.180498410952506,5.76614628479122,-1.31688536772355,0.205923230533436,0.288224695777636,-6.41270808744936
"33","172043_x_at","lec-2","174560","Galectin",0.810982372120669,9.74989067757519,6.81209538386562,3.59805807740613e-06,3.32294957845583e-05,4.30115913024755
"34","172045_x_at","hil-7","177433","HIstone H1 Like",-0.129874620355642,7.7173004170629,-0.872905015220555,0.395274685414755,0.486941045252445,-6.88974299829353
"35","172047_x_at","kap-1","176041","Kinesin-Associated Protein",0.0343950889779068,5.14978285067328,0.249956284404597,0.805714963654081,0.851440010189187,-7.2500082030824
"36","172063_x_at","oat-1","177649","MFS domain-containing protein",1.05396428417721,6.59586996810771,8.38457410303313,2.43908154398562e-07,3.89692338636783e-06,7.0554197983833
"37","172068_x_at","cdk-7","171784","Cyclin-dependent kinase 7",-0.130814329257134,9.73902752650624,-1.14678798148227,0.2678716254149,0.354611008882582,-6.61510704124101
"38","172084_x_at","madd-2","178619","hypothetical protein",-0.199061337007888,5.35894328320561,-1.58249239617596,0.132566022487192,0.200726330345531,-6.05269978847324
"39","172092_s_at","F53H1.1","176943","hypothetical protein",0.19889499373629,5.60197011293371,1.22533194416837,0.237700446609137,0.322659785924512,-6.52453472398693
"40","172100_x_at","mlc-2","181775","Myosin regulatory light chain 2",0.485918577405577,11.1446396464633,4.23813386497821,0.000591767970571254,0.00234792810397919,-0.886753948864882
"41","172152_x_at","unc-11","171952","Phosphatidylinositol-binding clathrin assembly protein unc-11",-0.204590737173172,5.79819152061156,-1.67679618583454,0.112474374348854,0.176475736379599,-5.91310020633458
"42","172156_x_at","Y54G2A.36","3565378","hypothetical protein",-0.438828621596848,10.5034605910141,-4.04016261405298,0.000901331067416514,0.00334489819900437,-1.30855909559963
"43","172159_x_at","fip-5","181237","Fungus-Induced Protein",1.10116138425258,6.39773672026567,6.05267181200163,1.48682729003505e-05,0.000106347680951049,2.85062249825002
"44","172164_x_at","C06C6.9","182311","hypothetical protein",-0.379739905940208,3.54635258479749,-2.31820487423269,0.0336062801964229,0.0657308576074501,-4.82960267350304
"45","172177_x_at","pbo-1","175385","hypothetical protein",0.827632235961822,4.85750412875525,3.96017196238625,0.00106893804137334,0.00387606228915375,-1.47907542067014
"46","172184_x_at","clec-174","189943","C-type lectin domain-containing protein",1.14132930237203,6.98627174158804,5.47138297400003,4.64137398390453e-05,0.000276888834232931,1.6897523309754
"47","172189_at","F46A8.7","185823","hypothetical protein",-0.455903414764004,5.56563979666616,-2.71507550213456,0.0150148974453942,0.0339177260819576,-4.07030538719347
"48","172190_x_at","serp-1.1","181669","hypothetical protein",0.401037017885326,7.25807041198295,3.44568667574706,0.00321115981606,0.00961273254341004,-2.57113371208073
"49","172193_at","T12D8.5","176797","hypothetical protein",0.485196468220801,8.87428057532257,1.56086026758069,0.1375817382573,0.206893562399185,-6.08389041701995
"50","172196_x_at","col-65","187138","Col_cuticle_N domain-containing protein",-0.0809051089052195,7.44585698641965,-0.680656680799397,0.505554394592137,0.590190880584885,-7.04173805437174
"51","172214_x_at","flp-15","176803","FMRF-Like Peptide",0.537121784503459,6.60263438955307,2.75764398482556,0.013747049253359,0.0316538903293798,-3.98595717231213
"52","172218_x_at","dod-6","176433","ShKT domain-containing protein",-0.881148115109974,8.84100556677705,-4.2134792276949,0.000623527942094194,0.0024506234858933,-0.939245075962779
"53","172223_x_at","ssp-37","173127","MSP domain-containing protein",-0.53396679726693,7.66436357853633,-4.42089549178161,0.000402161736564341,0.00169053875148518,-0.498266313243838
"54","172229_x_at","T16A9.5","179924","hypothetical protein",-0.48894149253253,4.23812222811392,-3.16526959111606,0.00583620570938946,0.0155919875935847,-3.15728866368518
"55","172232_x_at","nspa-9","183368","Nematode Specific Peptide family, group A",-0.263636660624905,3.92913692597292,-1.66406817956918,0.115023543280379,0.179643511415423,-5.93227927195738
"56","172236_x_at","nlp-51","174729","Neuropeptide-Like Protein",-0.156722697257236,6.51945929102022,-1.16660023568829,0.260001427693176,0.345839219611019,-6.59273815423187
"57","172241_x_at","fipr-24","183286","FIP (Fungus-Induced Protein) Related",1.46926194398622,6.36275068089495,6.89318982460478,3.10663195893323e-06,2.95094653046733e-05,4.45142950707511
"58","172242_x_at","F36D1.4","185346","hypothetical protein",-0.365340352558792,4.58925406451712,-2.21112073398604,0.0415009675283253,0.077709490163052,-5.02451648360663
"59","172248_x_at","T20G5.8","188660","ShKT domain-containing protein",-0.133942423651507,7.48076229988106,-0.836342404284682,0.414942989057096,0.504998437416051,-6.92132655122596
"60","172252_x_at","H25K10.4","186780","DUF4440 domain-containing protein",-0.371720306740584,5.01078127499449,-2.56317441353722,0.020517489681565,0.0436965944699316,-4.36707871848453
"61","172256_x_at","cya-2","186646","CYCLIN domain-containing protein",0.298286094904847,6.15036220536961,2.41715469595004,0.0275795730369917,0.0559916356203776,-4.64539667616065
"62","172270_x_at","allo-1","177962","Allophagy receptor allo-1",0.423977053558916,10.1999979905474,4.01739215328756,0.00094614384849977,0.00347920621538275,-1.35710020155954
"63","172286_x_at","W09C3.8","189312","hypothetical protein",-0.3955307554046,4.9025915027935,-2.66794053049732,0.016549812768194,0.0366893775881813,-4.16312086328484
"64","172303_x_at","W05H9.3","189229","ncRNA",1.06218883574864,7.54396902001963,7.4349805382482,1.19157098781487e-06,1.34293270788865e-05,5.43223447477642
"65","172304_x_at","C32E8.4","171947","hypothetical protein",-0.189442613136031,4.24287910975146,-1.33868352165666,0.198876454578127,0.279795821724288,-6.38511922260042
"66","172310_x_at","Y9D1A.1","174214","hypothetical protein",0.041477520835616,6.14303175430963,0.331195016841542,0.744677513618476,0.804274859308221,-7.22521381621
"67","172318_x_at","scrm-1","173053","Phospholipid scramblase",0.344670137016212,7.15148217081361,3.0840944818421,0.00693163361359293,0.0179868775162928,-3.32490614417557
"68","172333_x_at","msd-2","260109","MSP domain-containing protein",-0.232894592885571,3.74498972243691,-1.4808660562799,0.157535931115298,0.230096263660524,-6.19643430295476
"69","172343_x_at","nlp-31","178804","QWGYGGY-amide",1.59464776170363,8.62114282620357,9.41922134923202,4.91597354031039e-08,1.15817003746296e-06,8.69160144490348
"70","172347_at","C36A4.10","175494","hypothetical protein",0.513228906381075,4.33930160288108,3.76285056583824,0.00162947978655569,0.00551984623065575,-1.8993246159664
"71","172352_at","C33A12.4","177784","hypothetical protein",1.29226995314424,6.14098533242535,5.54101451345692,4.04038335323349e-05,0.000247043967492429,1.83096615116092
"72","172360_x_at","abu-15","182136","Activated in Blocked Unfolded protein response",-0.294144722001125,4.37440557599164,-1.39484829111678,0.181606533727746,0.258817240480075,-6.31237118003201
"73","172363_x_at","F53A9.6","186145","hypothetical protein",1.34086059148281,8.80151670633799,7.7080383033508,7.46163130563311e-07,9.63312772275234e-06,5.91135580635942
"74","172375_x_at","nlp-29","178805","QWGYGGY-amide",1.86672327599507,8.36252786696286,8.34722572157126,2.5904742655121e-07,4.07633120271149e-06,6.99383217646027
"75","172385_x_at","nlp-50","174115","Neuropeptide-Like Protein",0.522694864827879,6.1346629979248,3.54687458140351,0.00258649281318936,0.00802505582663664,-2.35754939604677
"76","172386_x_at","nlp-30","3565444","QWGYGGY-amide",2.138483728022,7.3143209579718,13.6227327978372,2.20182015710278e-10,2.41620790924174e-08,14.1599299914251
"77","172390_x_at","sdz-37","191391","SKN-1 Dependent Zygotic transcript",-0.545014346753647,5.78217974728173,-3.3836745126221,0.00366589042516739,0.010780509924505,-2.70156001001936
"78","172400_x_at","ilys-5","180928","Invertebrate LYSozyme",-2.00132399977015,11.0438845015035,-13.4510326882025,2.66905983104705e-10,2.71462914523566e-08,13.9676248853502
"79","172403_x_at","math-27","173545","pseudo",0.774834141865567,4.30826878479628,4.7168325157175,0.000216384362825289,0.00100705668859538,0.127270723188853
"80","172405_x_at","cnc-3","178636","CaeNaCin (Caenorhabditis bacteriocin)",0.089760197689893,8.17329952293463,0.605344155178366,0.553208338744204,0.632888552143575,-7.09160612245731
"81","172407_x_at","atf-7","175587","BZIP domain-containing protein",-0.33338012435787,9.21297423601187,-3.30992399733716,0.00429041816285224,0.0122541395473246,-2.85613312526759
"82","172422_x_at","K10D6.2","179548","hypothetical protein",1.5679327828842,5.60277428993198,9.8189803365039,2.7356061531749e-08,7.50491951232852e-07,9.28911520006503
"83","172427_x_at","nlp-28","181845","QWGYGGY-amide",1.29927887894262,8.6740019612264,7.55683235757554,9.65773580074957e-07,1.15719353986033e-05,5.647292529834
"84","172437_x_at","cnc-2","178637","CaeNaCin (Caenorhabditis bacteriocin)",2.18298619612212,8.55373588568342,11.2873702051781,3.65776978972343e-09,1.57733135806485e-07,11.3328759937242
"85","172462_x_at","F07C6.4","178235","DUF3338 domain-containing protein;FERM domain-containing protein",-0.275731783479398,7.44436882670188,-2.63512262656031,0.0177061685537717,0.0386885739030229,-4.22736746295674
"86","172473_at","F28F5.4","3896752","hypothetical protein",0.222488080735592,4.8275941188869,1.97279021183821,0.0655624224511358,0.113160306962432,-5.43963584955294
"87","172475_x_at","col-145","179297","Putative cuticle collagen 145",-0.0681679891651452,5.96108564642919,-0.448906096480598,0.659355049010556,0.729700253283975,-7.17719182655276
"88","172490_at","F39F10.4","181738","hypothetical protein",-0.292471164410395,2.98593916210188,-1.50231227850409,0.151963587061227,0.223484100842349,-6.16669996435196
"89","172493_x_at","ash-2","174838","B30.2/SPRY domain-containing protein;Set1/Ash2 histone methyltransferase complex subunit ash-2",-0.234704189020183,8.60211075174075,-1.91693650541615,0.0727782008629026,0.123468306590034,-5.53279281256496
"90","172515_x_at","W08A12.2","178786","hypothetical protein",0.795027704271053,8.32976223842851,5.17554536892394,8.42189276295406e-05,0.000453737633352951,1.08378452747787
"91","172516_x_at","Y39G8B.1","175047","Aldo_ket_red domain-containing protein",0.398151231182152,8.33881113197766,2.43021654066601,0.0268645819675394,0.0548605811971788,-4.62080463456107
"92","172531_x_at","Y46H3C.5","178653","hypothetical protein",0.108881339265463,5.23224555946888,0.698789227737056,0.494442772606882,0.580796158245267,-7.02890579282602
"93","172540_x_at","twk-17","181024","TWiK family of potassium channels",-0.329234213705228,4.01673459879807,-2.01094335220351,0.0610104789971251,0.106641716992372,-5.37505612067628
"94","172558_s_at","zgpa-1","177568","Zinc finger G-PAtch domain-containing protein homolog",0.252024037115976,6.08739378538247,1.53010908057043,0.144986201830672,0.215464170218782,-6.12768028079715
"95","172564_x_at","nlp-61","184956","Neuropeptide-Like Protein",0.662146678357635,5.72300538564532,4.14569373837225,0.000720046971805953,0.00274962991980845,-1.08363475960729
"96","172568_x_at","Y43F8B.2","180278","DUF727 domain-containing protein",0.538916525779683,9.56590530132993,3.93587491030348,0.00112582761014277,0.00403186019898954,-1.5308623757735
"97","172570_x_at","Y51A2D.14","180214","hypothetical protein",0.806195031865595,9.41509120739657,6.84798648691496,3.37126453140336e-06,3.18058214840543e-05,4.36777762761578
"98","172583_x_at","fbxa-24","173727","FTH domain-containing protein",0.383401832003935,4.57113558203924,2.13270892266148,0.0483345378898711,0.0880152938867959,-5.16407787455519
"99","172587_x_at","abu-8","178904","Activated in Blocked Unfolded protein response",-0.430881344038998,4.94375792386627,-2.7835252680472,0.0130273207259835,0.0302135302710519,-3.93444065163333
"100","172588_x_at","flp-21","182944","FMRF-Like Peptide",0.485507142540203,4.66441391481402,3.61706144682495,0.00222588915784304,0.00709629800321521,-2.20893580718792
"101","172592_x_at","T20D4.15","188650","DUF19 domain-containing protein",0.492450525870201,4.60321960608385,3.46533739259038,0.00307910611369346,0.00930425543050851,-2.52972524356722
"102","172594_x_at","fbxa-60","188448","F-box domain-containing protein",0.417123277565592,7.6966770703451,3.01156647517298,0.00807916490223132,0.0204306353197723,-3.47369715695493
"103","172609_x_at","cin-4","191525","DNA topoisomerase-like protein cin-4",-0.289342381488278,7.77418642866044,-2.65248670162922,0.017085026195612,0.0374787399419308,-4.1934136961546
"104","172610_x_at","ZC239.14","191124","BTB domain-containing protein",0.400283146124952,5.23320742214993,2.28303817336461,0.0360299955704154,0.0693332171336559,-4.89414067003529
"105","172622_x_at","W04E12.7","189193","hypothetical protein",-0.0817365694030627,4.47411049083315,-0.488895066848435,0.631368210922449,0.703958673675565,-7.15765623011201
"106","172635_x_at","nspe-7","189661","Nematode Specific Peptide family, group E",2.04346660253988,4.83660552590132,9.57919441053963,3.88000145372831e-08,9.57373139766098e-07,8.93294500392044
"107","172655_x_at","F47B7.1","180666","UPF0057 membrane protein F47B7.1",0.934437819379363,8.48293289135724,7.39337373416951,1.28077268128974e-06,1.42421922159419e-05,5.35833866496845
"108","172659_x_at","T23F2.5","180823","UPF0057 membrane protein T23F2.5",0.553391785156032,10.1369685566026,4.59103623307883,0.000281344072126858,0.00124980288538077,-0.137981737206377
"109","172660_s_at","Y38E10A.24","174898","hypothetical protein",0.0656658705566002,8.47782912842415,0.683286353299319,0.503934062185403,0.589289130486016,-7.03989680024342
"110","172661_x_at","his-31","191677","Histone H4",-0.153329229966068,6.78729888418372,-1.18085124717905,0.254449415925424,0.340299571651385,-6.57644771547098
"111","172663_x_at","Y57G11C.20","353433","hypothetical protein",0.744997851491991,4.54075771954305,5.23484426534179,7.46750143868232e-05,0.000409203120977501,1.20599606231765
"112","172669_x_at","ssp-10","177834","Sperm-specific class P protein 10",-0.603400006099589,6.64010094640926,-5.40455484987372,5.30510559056923e-05,0.000311143323666297,1.55370341709487
"113","172673_x_at","vit-4","180646","Vitellogenin-4",-0.820339545692375,9.73227406788598,-3.94373567359529,0.00110709598144643,0.00397981917468242,-1.51410852790394
"114","172692_x_at","C50F4.6","3565041","hypothetical protein",-0.255452759880788,7.20929551999696,-1.42598885762001,0.172567493902935,0.248030402095261,-6.27102167901893
"115","172700_x_at","col-157","188426","Col_cuticle_N domain-containing protein",0.082391078752563,10.007658109182,0.627165241934068,0.539156476428893,0.621244130065898,-7.07772945188473
"116","172701_x_at","col-125","178029","Col_cuticle_N domain-containing protein",0.0969227151523153,9.85696506563214,0.852063039338421,0.406409831801702,0.497340451088064,-6.90789822202825
"117","172703_x_at","col-160","179804","Col_cuticle_N domain-containing protein",0.0375556387998843,9.74167832984129,0.251846559223873,0.804278158183727,0.850365091183099,-7.2495093537727
"118","172705_x_at","col-159","179803","Col_cuticle_N domain-containing protein",-0.0817551446352596,9.00508276519193,-0.498848917172579,0.624488582530564,0.69834201908084,-7.15254185970589
"119","172706_x_at","F53F1.4","179822","hypothetical protein",0.0906782788239813,6.18811369210932,0.534696041915754,0.600011300830747,0.676594679411632,-7.13329639153227
"120","172707_x_at","tat-4","174031","GyrI-like domain-containing protein;Phospholipid-transporting ATPase",0.485047194017884,4.09158580497746,4.13561122768284,0.000735643764884643,0.00279893658719796,-1.1051187285907
"121","172709_x_at","col-147","179351","Col_cuticle_N domain-containing protein",-0.0551386894682295,9.2138127979565,-0.276652768065795,0.785491690636662,0.835160721559123,-7.24261758765727
"122","172710_x_at","col-146","188178","Col_cuticle_N domain-containing protein",0.0313321928621235,9.33768196462585,0.249703228600093,0.805907366958446,0.851440010189187,-7.25007470221338
"123","172717_x_at","slo-2","181332","SLOwpoke potassium channel family",0.645297115425145,4.80924015032717,4.3799216874572,0.00043844856424706,0.00181110477121815,-0.585249673968784
"124","172724_x_at","msp-33","173844","Major sperm protein 33",-0.259502656408245,4.10412138341233,-1.62371614406303,0.123435736610635,0.189237875612628,-5.99239255585233
"125","172729_x_at","col-73","184366","Col_cuticle_N domain-containing protein",-0.0288055549010036,8.02522685907502,-0.185889570125615,0.854803585720676,0.889575980148545,-7.26470620378927
"126","172741_x_at","F41F3.3","178856","hypothetical protein",0.0736947408700086,7.02444597849834,0.454372541286601,0.655497120125627,0.726201644772546,-7.17461711572748
"127","172742_x_at","nrf-6","174287","Nose resistant to fluoxetine protein 6",0.135884522063436,7.95308058396974,1.18393925401396,0.253258332739021,0.339250641670966,-6.57289579868707
"128","172744_at","mtl-1","179060","Metallothionein-1",-0.303204763734943,9.15902010894821,-1.13221048077755,0.273775719601741,0.361394349711701,-6.63135727640283
"129","172761_x_at","his-1","191667","Histone H4",0.0954758024101299,8.45007061903409,0.695426371725669,0.49649269544808,0.58238383685471,-7.03130969071972
"130","172772_x_at","skr-13","178493","SKp1 Related (ubiquitin ligase complex component)",-0.311330816046167,8.63780812394643,-2.69379472122802,0.0156901599859064,0.0351574245788445,-4.11228762217923
"131","172782_x_at","skr-9","178494","SKp1 Related (ubiquitin ligase complex component)",-0.658321701975662,8.64420230151835,-4.82039970354439,0.000174523966004344,0.00084570946750325,0.34479982498351
"132","172787_x_at","his-64","178066","Histone H4",0.103758730744866,8.64701280810334,0.618402575593244,0.544775709047002,0.625816723615977,-7.08335824374912
"133","172790_x_at","cyp-13B1","181462","Putative cytochrome P450 cyp-13B1",0.168650613165402,3.96221865423868,1.2289607382931,0.23637243384468,0.321275439743258,-6.52022894057527
"134","172793_x_at","cpr-3","180033","Cathepsin B-like cysteine proteinase 3",1.33303659850515,8.71593592492797,7.79022076041019,6.4935677595236e-07,8.65117493840684e-06,6.05358234066347
"135","172799_x_at","cut-2","179823","Cuticlin-2",0.167362517796905,6.3539651351383,1.10985008479253,0.283020048517226,0.371398733781993,-6.65593747382778
"136","172801_x_at","col-43","179187","Col_cuticle_N domain-containing protein",0.0399711795351898,9.20854394579303,0.262095626466871,0.796500510115558,0.843623070517384,-7.24673968500375
"137","172802_x_at","col-102","182802","Col_cuticle_N domain-containing protein",-0.244889587873356,6.26474562399711,-1.30511943585265,0.209808458400329,0.291629623389301,-6.42744751034339
"138","172803_x_at","col-107","176961","Col_cuticle_N domain-containing protein",0.424791991157032,6.290837021821,2.50255216847715,0.0232113962578041,0.0483474137837378,-4.48351319912188
"139","172804_x_at","col-124","177901","Col_cuticle_N domain-containing protein",-0.305241457137997,10.2847201690128,-2.72170819869029,0.014810206677425,0.0335826872457109,-4.05719502098216
"140","172809_x_at","dpy-4","178414","Col_cuticle_N domain-containing protein",-0.0540909727573577,9.21709412081318,-0.399178115212698,0.694894918979452,0.760753954356606,-7.19921394975985
"141","172820_x_at","sqt-3","179693","Cuticle collagen 1",0.0200326071610863,11.5299466447717,0.15012689563178,0.882489311734876,0.911584454712327,-7.2710392350343
"142","172821_x_at","col-133","186083","Col_cuticle_N domain-containing protein",-0.156914594475547,9.20949442942664,-1.18240921469028,0.253847956753606,0.339822144353945,-6.5746566721131
"143","172826_x_at","col-17","173839","COLlagen",0.0350847960923524,10.0632248947617,0.234306260047564,0.817637703750925,0.860997278949838,-7.25399496084979
"144","172844_x_at","fipr-21","181238","FIP (Fungus-Induced Protein) Related",1.78771319604139,8.70396705885075,12.8386506321865,5.39419437320638e-10,4.24411142193785e-08,13.2627569020669
"145","172855_x_at","lin-28","172626","Protein lin-28",-0.0450347708372254,5.82272159743891,-0.412231477165154,0.685490319462008,0.752037524903072,-7.19367795014278
"146","172872_x_at","T23F2.3","188805","UPF0057 membrane protein T23F2.3",1.0975522003786,9.32438770993313,8.53798272845741,1.90803717841162e-07,3.28781612974234e-06,7.30650176214885
"147","172882_x_at","msp-3","173825","Major sperm protein 3",-0.271112565983191,4.64081111000654,-1.57866104748813,0.13344294009416,0.20183426194873,-6.05824712349617
"148","172887_x_at","msp-64","173983","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142",-0.356489145140992,4.30043542422385,-1.74872674988799,0.0989657638128319,0.158508464438553,-5.80279681154378
"149","172888_x_at","math-20","173562","MATH (meprin-associated Traf homology) domain containing",0.501806573750922,6.67806227380077,3.05138961179423,0.00742785590488225,0.0191080562142868,-3.3921196389091
"150","172889_x_at","msp-45","173884","Major sperm protein 19/31/40/45/50/51/53/59/61/65/81/113/142",-0.271971518085627,5.16686727822509,-1.99919498468061,0.0623807501383045,0.108522206122958,-5.39502209906288
"151","172895_x_at","dpy-13","177187","Cuticle collagen dpy-13",0.107822353032356,10.4482104700455,0.85471456566419,0.404981940629887,0.49640983490886,-6.90561076335928
"152","172896_x_at","msp-49","173888","Major sperm protein 49",-0.427240044346136,5.08998077158156,-2.77613342813405,0.0132290842293787,0.0305721290723141,-3.94917167247393
"153","172898_x_at","EEED8.12","173922","Putative RNA-binding protein EEED8.12",0.0512468388178506,7.23149104027686,0.338069027840985,0.739585973668955,0.800228159658419,-7.22280154779451
"154","172902_x_at","col-34","177188","Cuticle collagen 34",0.265746363912717,7.99817221796948,1.53479280986474,0.143837310960101,0.214291385031662,-6.12105261968694
"155","172903_x_at","msp-55","177272","Major sperm protein 55/57",-0.359257209389901,5.10254814931036,-1.69593776851807,0.108732386355612,0.171682715298335,-5.8840629680541
"156","172920_x_at","kpc-1","173051","Furin-like protease kpc-1",0.689338248039053,6.17945790293638,4.76513058664144,0.000195715592949728,0.00092532202108885,0.2288159993401
"157","172932_x_at","unc-52","175126","Basement membrane proteoglycan;Ig-like domain-containing protein",0.546271894548403,6.72223631671198,3.6123194107911,0.00224858698990071,0.00715771583808089,-2.21898699970553
"158","172933_x_at","gsp-3","172082","Serine/threonine-protein phosphatase PP1-gamma",-0.202609847749033,4.12397878986251,-1.07443718595166,0.298130139318593,0.387290554815742,-6.69400053806708
"159","172942_x_at","srp-6","179125","SERPIN domain-containing protein",0.375140008385714,7.76636946040537,2.68797151396136,0.0158799604022237,0.0354873713168664,-4.12375348070784
"160","172945_s_at","F13C5.1","180411","hypothetical protein",0.10545676229021,5.64490288609935,0.495097223357591,0.62707742152369,0.700808007422809,-7.1544812587733
"161","172952_s_at","C29A12.1","179501","hypothetical protein",0.0282116442216918,10.0251603683346,0.230458186590407,0.820576506631386,0.863437807886167,-7.25493603524996
"162","172965_x_at","C35D6.4","183235","hypothetical protein",-0.462464893319349,4.63718403021298,-3.91872387011111,0.00116781321719728,0.00415865167866153,-1.56741423876357
"163","172966_x_at","F38C2.7","185463","hypothetical protein",-0.442771343195945,6.14915533255717,-3.28981489847607,0.00447825317177278,0.0126605530347746,-2.89816723646729
"164","172971_s_at","Y54G2A.11","177058","hypothetical protein",0.259468959005415,7.77177119814487,2.31587324614077,0.0337621467308347,0.0658812128533368,-4.83389719688848
